veritas_product_id,streaming_url,review_status,reviewed_on,evidence_note
50752,https://veritaspub.com/success-october-2009/,approved,2026-08-04,Product page https://veritaspub.com/product/2009-10-success-october-2009/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-04.
50755,https://veritaspub.com/peace-august-2009/,approved,2026-08-04,Product page https://veritaspub.com/product/2009-08-peace-august-2009/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-04.
50623,https://veritaspub.com/thought-and-ideation-feb-2004/,approved,2026-08-04,Product page https://veritaspub.com/product/2004-02-thought-and-ideation-feb-2004/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-04.
55473,https://veritaspub.com/devotion-to-truth-video/,approved,2026-08-04,Product page https://veritaspub.com/product/devotion-to-truth-talk/ contains Stream icon linking to streaming video page; verified via live page-fetch 2026-08-04.
53277,https://veritaspub.com/progressive-levels-of-consciousness/,approved,2026-08-04,Product page https://veritaspub.com/product/.../53277/ contains Stream icon linking to https://veritaspub.com/progressive-levels-of-consciousness/; verified via live page-fetch 2026-08-04.
52945,https://veritaspub.com/spiritual-will-a-inspiring-q-a-session-with-dr-hawkins/,approved,2026-08-04,Product page https://veritaspub.com/product/.../52945/ contains Stream icon linking to https://veritaspub.com/spiritual-will-a-inspiring-q-a-session-with-dr-hawkins/; verified via live page-fetch 2026-08-04.
50516,https://veritaspub.com/2014-what-is-meant-by-spiritual/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50516/ contains Stream icon linking to https://veritaspub.com/2014-what-is-meant-by-spiritual/; verified via live page-fetch 2026-08-04.
54219,https://veritaspub.com/mind-heart-and-service-the-pathway-of-devotional-non-duality-stream/,approved,2026-08-04,Product page https://veritaspub.com/product/mind-heart-and-service-the-pathway-of-devotional-non-duality/ contains Stream icon linking to streaming page; verified via live page-fetch 2026-08-04.
50510,https://veritaspub.com/2013-how-to-see-the-reality-of-life/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50510/ contains Stream icon linking to https://veritaspub.com/2013-how-to-see-the-reality-of-life/; verified via live page-fetch 2026-08-04.
50513,https://veritaspub.com/2014-the-importance-of-family/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50513/ contains Stream icon linking to https://veritaspub.com/2014-the-importance-of-family/; verified via live page-fetch 2026-08-04.
50494,https://veritaspub.com/2012-what-you-are-changes-the-world/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50494/ contains Stream icon linking to https://veritaspub.com/2012-what-you-are-changes-the-world/; verified via live page-fetch 2026-08-04.
50507,https://veritaspub.com/2013-improving-your-relationships/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50507/ contains Stream icon linking to https://veritaspub.com/2013-improving-your-relationships/; verified via live page-fetch 2026-08-04.
50491,https://veritaspub.com/2012-how-to-live-your-life-like-a-prayer/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50491/ contains Stream icon linking to https://veritaspub.com/2012-how-to-live-your-life-like-a-prayer/; verified via live page-fetch 2026-08-04.
50488,https://veritaspub.com/2012-what-is-real-success/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50488/ contains Stream icon linking to https://veritaspub.com/2012-what-is-real-success/; verified via live page-fetch 2026-08-04 batch.
50485,https://veritaspub.com/2012-permanent-inner-peace/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50485/ contains Stream icon linking to https://veritaspub.com/2012-permanent-inner-peace/; verified via live page-fetch 2026-08-04 batch.
50458,https://veritaspub.com/death-and-dying/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50458/ contains Stream icon linking to https://veritaspub.com/death-and-dying/; verified via live page-fetch 2026-08-04 batch.
50438,https://veritaspub.com/cancer/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50438/ contains Stream icon linking to https://veritaspub.com/cancer/; verified via live page-fetch 2026-08-04 batch.
50432,https://veritaspub.com/a-map-of-consciousness/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50432/ contains Stream icon linking to https://veritaspub.com/a-map-of-consciousness/; verified via live page-fetch 2026-08-04 batch.
50453,https://veritaspub.com/drug-addiction-and-alcoholism/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50453/ contains Stream icon linking to https://veritaspub.com/drug-addiction-and-alcoholism/; verified via live page-fetch 2026-08-04 batch.
50435,https://veritaspub.com/alcoholism/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50435/ contains Stream icon linking to https://veritaspub.com/alcoholism/; verified via live page-fetch 2026-08-04 batch.
50444,https://veritaspub.com/losing-weight/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50444/ contains Stream icon linking to https://veritaspub.com/losing-weight/; verified via live page-fetch 2026-08-04 batch.
50470,https://veritaspub.com/illness-and-self-healing/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50470/ contains Stream icon linking to https://veritaspub.com/illness-and-self-healing/; verified via live page-fetch 2026-08-04 batch.
50461,https://veritaspub.com/depression/,approved,2026-08-04,Product page https://veritaspub.com/product/.../50461/ contains Stream icon linking to https://veritaspub.com/depression/; verified via live page-fetch 2026-08-04 batch.
